issuer_cik,issuer_ticker,owner_name,is_director,is_officer,officer_title,is_ten_percent_owner,security_title,transaction_date,transaction_code,shares,price_per_share,acquired_disposed_code,shares_owned_following,ownership_nature,ticker,filing_date,acceptance_datetime,accession_number,xml_url
320193,AAPL,Borders Ben,,true,Principal Accounting Officer,,Common Stock,2026-04-15 00:00:00,M,1717,,A,40879,D,AAPL,2026-04-17,2026-04-17 22:32:12+00:00,0001140361-26-015421,https://www.sec.gov/Archives/edgar/data/320193/000114036126015421/form4.xml
320193,AAPL,Borders Ben,,true,Principal Accounting Officer,,Common Stock,2026-04-15 00:00:00,F,892,266.43,D,39987,D,AAPL,2026-04-17,2026-04-17 22:32:12+00:00,0001140361-26-015421,https://www.sec.gov/Archives/edgar/data/320193/000114036126015421/form4.xml
320193,AAPL,Parekh Kevan,,true,"Senior Vice President, CFO",,Common Stock,2026-04-15 00:00:00,M,10928,,A,19693,D,AAPL,2026-04-17,2026-04-17 22:30:34+00:00,0001140361-26-015420,https://www.sec.gov/Archives/edgar/data/320193/000114036126015420/form4.xml
320193,AAPL,Parekh Kevan,,true,"Senior Vice President, CFO",,Common Stock,2026-04-15 00:00:00,F,4793,266.43,D,14900,D,AAPL,2026-04-17,2026-04-17 22:30:34+00:00,0001140361-26-015420,https://www.sec.gov/Archives/edgar/data/320193/000114036126015420/form4.xml
320193,AAPL,O'BRIEN DEIRDRE,,true,Senior Vice President,,Common Stock,2026-04-01 00:00:00,M,64317,,A,201127,D,AAPL,2026-04-03,2026-04-03 22:30:45+00:00,0001140361-26-013192,https://www.sec.gov/Archives/edgar/data/320193/000114036126013192/form4.xml
320193,AAPL,O'BRIEN DEIRDRE,,true,Senior Vice President,,Common Stock,2026-04-01 00:00:00,F,34315,255.63,D,166812,D,AAPL,2026-04-03,2026-04-03 22:30:45+00:00,0001140361-26-013192,https://www.sec.gov/Archives/edgar/data/320193/000114036126013192/form4.xml
320193,AAPL,O'BRIEN DEIRDRE,,true,Senior Vice President,,Common Stock,2026-04-02 00:00:00,S,20338,255.12,D,146474,D,AAPL,2026-04-03,2026-04-03 22:30:45+00:00,0001140361-26-013192,https://www.sec.gov/Archives/edgar/data/320193/000114036126013192/form4.xml
320193,AAPL,O'BRIEN DEIRDRE,,true,Senior Vice President,,Common Stock,2026-04-02 00:00:00,S,9664,255.82,D,136810,D,AAPL,2026-04-03,2026-04-03 22:30:45+00:00,0001140361-26-013192,https://www.sec.gov/Archives/edgar/data/320193/000114036126013192/form4.xml
320193,AAPL,Khan Sabih,,true,COO,,Common Stock,2026-04-01 00:00:00,M,64317,,A,1107212,D,AAPL,2026-04-03,2026-04-03 22:30:43+00:00,0001140361-26-013191,https://www.sec.gov/Archives/edgar/data/320193/000114036126013191/form4.xml
320193,AAPL,Khan Sabih,,true,COO,,Common Stock,2026-04-01 00:00:00,F,33317,255.63,D,1073895,D,AAPL,2026-04-03,2026-04-03 22:30:43+00:00,0001140361-26-013191,https://www.sec.gov/Archives/edgar/data/320193/000114036126013191/form4.xml
