filingDate,acceptanceDateTime,accessionNumber,primaryDocument,form,ticker
2026-05-08,2026-05-08 22:30:09+00:00,0001140361-26-020298,xslF345X06/form4.xml,4,AAPL
2026-04-27,2026-04-27 22:30:44+00:00,0001140361-26-017175,xslF345X06/form4.xml,4,AAPL
2026-04-17,2026-04-17 22:32:12+00:00,0001140361-26-015421,xslF345X06/form4.xml,4,AAPL
2026-04-17,2026-04-17 22:30:34+00:00,0001140361-26-015420,xslF345X06/form4.xml,4,AAPL
2026-04-03,2026-04-03 22:30:45+00:00,0001140361-26-013192,xslF345X06/form4.xml,4,AAPL
2026-04-03,2026-04-03 22:30:43+00:00,0001140361-26-013191,xslF345X06/form4.xml,4,AAPL
2026-04-03,2026-04-03 22:30:41+00:00,0001140361-26-013190,xslF345X06/form4.xml,4,AAPL
2026-03-17,2026-03-17 22:31:17+00:00,0001780525-26-000005,xslF345X05/wk-form4_1773786674.xml,4,AAPL
2026-02-26,2026-02-26 23:34:19+00:00,0001059235-26-000004,xslF345X05/wk-form4_1772148856.xml,4,AAPL
2026-02-26,2026-02-26 23:33:49+00:00,0001216519-26-000004,xslF345X05/wk-form4_1772148826.xml,4,AAPL
2026-02-26,2026-02-26 23:33:14+00:00,0001179864-26-000004,xslF345X05/wk-form4_1772148791.xml,4,AAPL
2026-02-26,2026-02-26 23:32:41+00:00,0001214128-26-000004,xslF345X05/wk-form4_1772148758.xml,4,AAPL
2026-02-26,2026-02-26 23:32:04+00:00,0001051401-26-000004,xslF345X05/wk-form4_1772148721.xml,4,AAPL
2026-02-26,2026-02-26 23:31:24+00:00,0001453149-26-000005,xslF345X05/wk-form4_1772148681.xml,4,AAPL
2026-02-26,2026-02-26 23:30:33+00:00,0001690882-26-000004,xslF345X05/wk-form4_1772148630.xml,4,AAPL
2026-02-03,2026-02-03 23:37:10+00:00,0001059235-26-000002,xslF345X05/wk-form4_1770161827.xml,4,AAPL
2026-02-03,2026-02-03 23:36:32+00:00,0001216519-26-000002,xslF345X05/wk-form4_1770161790.xml,4,AAPL
2026-02-03,2026-02-03 23:35:54+00:00,0001179864-26-000002,xslF345X05/wk-form4_1770161752.xml,4,AAPL
2026-02-03,2026-02-03 23:35:15+00:00,0001214128-26-000002,xslF345X05/wk-form4_1770161713.xml,4,AAPL
2026-02-03,2026-02-03 23:34:20+00:00,0001051401-26-000002,xslF345X05/wk-form4_1770161657.xml,4,AAPL
2026-02-03,2026-02-03 23:33:25+00:00,0001453149-26-000003,xslF345X05/wk-form4_1770161602.xml,4,AAPL
2026-02-03,2026-02-03 23:32:10+00:00,0001690882-26-000002,xslF345X05/wk-form4_1770161527.xml,4,AAPL
2025-11-14,2025-11-14 23:30:15+00:00,0001462356-25-000012,xslF345X05/wk-form4_1763163012.xml,4,AAPL
2025-11-12,2025-11-12 23:30:10+00:00,0001631982-25-000011,xslF345X05/wk-form4_1762990206.xml,4,AAPL
2025-10-17,2025-10-17 22:31:09+00:00,0002050912-25-000008,xslF345X05/wk-form4_1760740266.xml,4,AAPL
2025-10-17,2025-10-17 22:30:16+00:00,0001631982-25-000009,xslF345X05/wk-form4_1760740212.xml,4,AAPL
2025-10-03,2025-10-03 22:33:53+00:00,0001214156-25-000011,xslF345X05/wk-form4_1759530830.xml,4,AAPL
2025-10-03,2025-10-03 22:32:27+00:00,0001767094-25-000009,xslF345X05/wk-form4_1759530744.xml,4,AAPL
2025-10-03,2025-10-03 22:31:33+00:00,0002078476-25-000005,xslF345X05/wk-form4_1759530690.xml,4,AAPL
2025-10-03,2025-10-03 22:30:27+00:00,0001462356-25-000010,xslF345X05/wk-form4_1759530624.xml,4,AAPL
2025-09-30,2025-09-30 22:35:16+00:00,0002050912-25-000006,xslF345X05/wk-form4_1759271713.xml,4,AAPL
2025-09-30,2025-09-30 22:34:20+00:00,0001767094-25-000007,xslF345X05/wk-form4_1759271656.xml,4,AAPL
2025-09-30,2025-09-30 22:33:15+00:00,0002078476-25-000003,xslF345X05/wk-form4_1759271592.xml,4,AAPL
2025-09-30,2025-09-30 22:32:09+00:00,0001214156-25-000009,xslF345X05/wk-form4_1759271527.xml,4,AAPL
2025-09-30,2025-09-30 22:30:22+00:00,0001462356-25-000008,xslF345X05/wk-form4_1759271419.xml,4,AAPL
2025-08-29,2025-08-29 22:30:10+00:00,0001214128-25-000005,xslF345X05/wk-form4_1756506606.xml,4,AAPL
2025-08-27,2025-08-27 22:30:14+00:00,0001631982-25-000007,xslF345X05/wk-form4_1756333811.xml,4,AAPL
2025-08-12,2025-08-12 22:30:19+00:00,0001767094-25-000005,xslF345X05/wk-form4_1755037816.xml,4,AAPL
2025-05-14,2025-05-14 22:30:28+00:00,0000320193-25-000059,xslF345X05/wk-form4_1747261821.xml,4,AAPL
2025-04-25,2025-04-25 22:30:14+00:00,0000320193-25-000051,xslF345X05/wk-form4_1745620207.xml,4,AAPL
2025-04-17,2025-04-17 22:32:02+00:00,0000320193-25-000049,xslF345X05/wk-form4_1744929115.xml,4,AAPL
2025-04-17,2025-04-17 22:31:13+00:00,0000320193-25-000048,xslF345X05/wk-form4_1744929066.xml,4,AAPL
2025-04-03,2025-04-03 22:33:37+00:00,0000320193-25-000045,xslF345X05/wk-form4_1743719610.xml,4,AAPL
2025-04-03,2025-04-03 22:32:58+00:00,0000320193-25-000044,xslF345X05/wk-form4_1743719572.xml,4,AAPL
2025-04-03,2025-04-03 22:32:18+00:00,0000320193-25-000043,xslF345X05/wk-form4_1743719531.xml,4,AAPL
2025-04-03,2025-04-03 22:31:27+00:00,0000320193-25-000042,xslF345X05/wk-form4_1743719480.xml,4,AAPL
2025-02-27,2025-02-27 23:35:41+00:00,0000320193-25-000036,xslF345X05/wk-form4_1740699336.xml,4,AAPL
2025-02-27,2025-02-27 23:34:58+00:00,0000320193-25-000035,xslF345X05/wk-form4_1740699290.xml,4,AAPL
2025-02-27,2025-02-27 23:34:19+00:00,0000320193-25-000034,xslF345X05/wk-form4_1740699250.xml,4,AAPL
2025-02-27,2025-02-27 23:33:20+00:00,0000320193-25-000033,xslF345X05/wk-form4_1740699194.xml,4,AAPL
2025-02-27,2025-02-27 23:32:35+00:00,0000320193-25-000032,xslF345X05/wk-form4_1740699149.xml,4,AAPL
2025-02-27,2025-02-27 23:31:50+00:00,0000320193-25-000031,xslF345X05/wk-form4_1740699102.xml,4,AAPL
2025-02-27,2025-02-27 23:30:50+00:00,0000320193-25-000030,xslF345X05/wk-form4_1740699044.xml,4,AAPL
2025-02-04,2025-02-04 23:35:59+00:00,0000320193-25-000022,xslF345X05/wk-form4_1738712153.xml,4,AAPL
2025-02-04,2025-02-04 23:35:07+00:00,0000320193-25-000021,xslF345X05/wk-form4_1738712099.xml,4,AAPL
2025-02-04,2025-02-04 23:34:04+00:00,0000320193-25-000020,xslF345X05/wk-form4_1738712037.xml,4,AAPL
