issuer_cik,issuer_ticker,owner_name,is_director,is_officer,officer_title,is_ten_percent_owner,security_title,transaction_date,transaction_code,shares,price_per_share,acquired_disposed_code,shares_owned_following,ownership_nature,conversion_or_exercise_price,ticker,filing_date,acceptance_datetime,accession_number,xml_url
0000320193,AAPL,Borders Ben,,true,Principal Accounting Officer,,Restricted Stock Unit,2026-04-15,M,540,,D,540,D,,AAPL,2026-04-17,2026-04-17 22:32:12+00:00,0001140361-26-015421,https://www.sec.gov/Archives/edgar/data/320193/000114036126015421/form4.xml
0000320193,AAPL,Borders Ben,,true,Principal Accounting Officer,,Restricted Stock Unit,2026-04-15,M,475,,D,1423,D,,AAPL,2026-04-17,2026-04-17 22:32:12+00:00,0001140361-26-015421,https://www.sec.gov/Archives/edgar/data/320193/000114036126015421/form4.xml
0000320193,AAPL,Borders Ben,,true,Principal Accounting Officer,,Restricted Stock Unit,2026-04-15,M,371,,D,1852,D,,AAPL,2026-04-17,2026-04-17 22:32:12+00:00,0001140361-26-015421,https://www.sec.gov/Archives/edgar/data/320193/000114036126015421/form4.xml
0000320193,AAPL,Borders Ben,,true,Principal Accounting Officer,,Restricted Stock Unit,2026-04-15,M,331,,D,2312,D,,AAPL,2026-04-17,2026-04-17 22:32:12+00:00,0001140361-26-015421,https://www.sec.gov/Archives/edgar/data/320193/000114036126015421/form4.xml
0000320193,AAPL,Parekh Kevan,,true,"Senior Vice President, CFO",,Restricted Stock Unit,2026-04-15,M,5817,,D,5816,D,,AAPL,2026-04-17,2026-04-17 22:30:34+00:00,0001140361-26-015420,https://www.sec.gov/Archives/edgar/data/320193/000114036126015420/form4.xml
0000320193,AAPL,Parekh Kevan,,true,"Senior Vice President, CFO",,Restricted Stock Unit,2026-04-15,M,5111,,D,15331,D,,AAPL,2026-04-17,2026-04-17 22:30:34+00:00,0001140361-26-015420,https://www.sec.gov/Archives/edgar/data/320193/000114036126015420/form4.xml
0000320193,AAPL,O'BRIEN DEIRDRE,,true,Senior Vice President,,Restricted Stock Unit,2026-04-01,M,22688,,D,0,D,,AAPL,2026-04-03,2026-04-03 22:30:45+00:00,0001140361-26-013192,https://www.sec.gov/Archives/edgar/data/320193/000114036126013192/form4.xml
0000320193,AAPL,O'BRIEN DEIRDRE,,true,Senior Vice President,,Restricted Stock Unit,2026-04-01,M,22159,,D,22159,D,,AAPL,2026-04-03,2026-04-03 22:30:45+00:00,0001140361-26-013192,https://www.sec.gov/Archives/edgar/data/320193/000114036126013192/form4.xml
0000320193,AAPL,O'BRIEN DEIRDRE,,true,Senior Vice President,,Restricted Stock Unit,2026-04-01,M,19470,,D,38938,D,,AAPL,2026-04-03,2026-04-03 22:30:45+00:00,0001140361-26-013192,https://www.sec.gov/Archives/edgar/data/320193/000114036126013192/form4.xml
0000320193,AAPL,Khan Sabih,,true,COO,,Restricted Stock Unit,2026-04-01,M,22688,,D,0,D,,AAPL,2026-04-03,2026-04-03 22:30:43+00:00,0001140361-26-013191,https://www.sec.gov/Archives/edgar/data/320193/000114036126013191/form4.xml
0000320193,AAPL,Khan Sabih,,true,COO,,Restricted Stock Unit,2026-04-01,M,22159,,D,22159,D,,AAPL,2026-04-03,2026-04-03 22:30:43+00:00,0001140361-26-013191,https://www.sec.gov/Archives/edgar/data/320193/000114036126013191/form4.xml
0000320193,AAPL,Khan Sabih,,true,COO,,Restricted Stock Unit,2026-04-01,M,19470,,D,38938,D,,AAPL,2026-04-03,2026-04-03 22:30:43+00:00,0001140361-26-013191,https://www.sec.gov/Archives/edgar/data/320193/000114036126013191/form4.xml
0000320193,AAPL,COOK TIMOTHY D,true,true,Chief Executive Officer,,Restricted Stock Unit,2026-04-01,M,85080,,D,0,D,,AAPL,2026-04-03,2026-04-03 22:30:41+00:00,0001140361-26-013190,https://www.sec.gov/Archives/edgar/data/320193/000114036126013190/form4.xml
0000320193,AAPL,COOK TIMOTHY D,true,true,Chief Executive Officer,,Restricted Stock Unit,2026-04-01,M,22159,,D,22159,D,,AAPL,2026-04-03,2026-04-03 22:30:41+00:00,0001140361-26-013190,https://www.sec.gov/Archives/edgar/data/320193/000114036126013190/form4.xml
