issuer_cik,issuer_ticker,owner_name,is_director,is_officer,officer_title,is_ten_percent_owner,security_title,transaction_date,transaction_code,shares,price_per_share,acquired_disposed_code,shares_owned_following,ownership_nature,ticker,filing_date,acceptance_datetime,accession_number,xml_url
0000002488,AMD,Papermaster Mark D,0,1,Chief Technology Officer & EVP,0,Common Stock,2026-04-24,S,31320,350,D,1236037,D,AMD,2026-04-28,2026-04-28 20:12:11+00:00,0000002488-26-000068,https://www.sec.gov/Archives/edgar/data/2488/000000248826000068/wk-form4_1777407129.xml
0000002488,AMD,Papermaster Mark D,0,1,Chief Technology Officer & EVP,0,Common Stock,2026-04-15,M,6000,84.85,A,1300466,D,AMD,2026-04-17,2026-04-17 20:11:52+00:00,0000002488-26-000066,https://www.sec.gov/Archives/edgar/data/2488/000000248826000066/wk-form4_1776456710.xml
0000002488,AMD,Papermaster Mark D,0,1,Chief Technology Officer & EVP,0,Common Stock,2026-04-15,S,6000,255.54,D,1294466,D,AMD,2026-04-17,2026-04-17 20:11:52+00:00,0000002488-26-000066,https://www.sec.gov/Archives/edgar/data/2488/000000248826000066/wk-form4_1776456710.xml
0000002488,AMD,Papermaster Mark D,0,1,Chief Technology Officer & EVP,0,Common Stock,2026-04-16,S,27109,275,D,1267357,D,AMD,2026-04-17,2026-04-17 20:11:52+00:00,0000002488-26-000066,https://www.sec.gov/Archives/edgar/data/2488/000000248826000066/wk-form4_1776456710.xml
0000002488,AMD,Papermaster Mark D,0,1,Chief Technology Officer & EVP,0,Common Stock,2026-04-06,S,3293,225,D,1294466,D,AMD,2026-04-08,2026-04-08 20:12:07+00:00,0000002488-26-000064,https://www.sec.gov/Archives/edgar/data/2488/000000248826000064/wk-form4_1775679123.xml
0000002488,AMD,VANDERSLICE ELIZABETH W,1,0,,0,Common Stock,2026-03-16,J,3014,0,A,34115,D,AMD,2026-03-18,2026-03-18 20:16:11+00:00,0000002488-26-000060,https://www.sec.gov/Archives/edgar/data/2488/000000248826000060/wk-form4_1773864967.xml
0000002488,AMD,Su Lisa T,1,1,"Chair, President & CEO",0,Common Stock,2026-03-12,S,16228,197.42,D,3214778,D,AMD,2026-03-16,2026-03-16 20:48:06+00:00,0000002488-26-000058,https://www.sec.gov/Archives/edgar/data/2488/000000248826000058/wk-form4_1773694083.xml
0000002488,AMD,Su Lisa T,1,1,"Chair, President & CEO",0,Common Stock,2026-03-12,S,35587,198.20,D,3179191,D,AMD,2026-03-16,2026-03-16 20:48:06+00:00,0000002488-26-000058,https://www.sec.gov/Archives/edgar/data/2488/000000248826000058/wk-form4_1773694083.xml
0000002488,AMD,Su Lisa T,1,1,"Chair, President & CEO",0,Common Stock,2026-03-12,S,18279,199.15,D,3160912,D,AMD,2026-03-16,2026-03-16 20:48:06+00:00,0000002488-26-000058,https://www.sec.gov/Archives/edgar/data/2488/000000248826000058/wk-form4_1773694083.xml
0000002488,AMD,Su Lisa T,1,1,"Chair, President & CEO",0,Common Stock,2026-03-12,S,6303,199.98,D,3154609,D,AMD,2026-03-16,2026-03-16 20:48:06+00:00,0000002488-26-000058,https://www.sec.gov/Archives/edgar/data/2488/000000248826000058/wk-form4_1773694083.xml
