filingDate,acceptanceDateTime,accessionNumber,primaryDocument,form,ticker
2026-04-28,2026-04-28 20:12:11+00:00,0000002488-26-000068,xslF345X06/wk-form4_1777407129.xml,4,AMD
2026-04-17,2026-04-17 20:11:52+00:00,0000002488-26-000066,xslF345X06/wk-form4_1776456710.xml,4,AMD
2026-04-08,2026-04-08 20:12:07+00:00,0000002488-26-000064,xslF345X06/wk-form4_1775679123.xml,4,AMD
2026-03-18,2026-03-18 20:16:11+00:00,0000002488-26-000060,xslF345X06/wk-form4_1773864967.xml,4,AMD
2026-03-16,2026-03-16 20:48:06+00:00,0000002488-26-000058,xslF345X05/wk-form4_1773694083.xml,4,AMD
2026-03-13,2026-03-13 20:07:18+00:00,0000002488-26-000056,xslF345X05/wk-form4_1773432436.xml,4,AMD
2026-03-06,2026-03-06 21:13:28+00:00,0000002488-26-000054,xslF345X05/wk-form4_1772831605.xml,4,AMD
2026-03-03,2026-03-03 21:15:06+00:00,0000002488-26-000052,xslF345X05/wk-form4_1772572498.xml,4,AMD
2026-03-03,2026-03-03 21:13:03+00:00,0000002488-26-000050,xslF345X05/wk-form4_1772572381.xml,4,AMD
2026-02-26,2026-02-26 22:34:59+00:00,0000002488-26-000047,xslF345X05/wk-form4_1772145296.xml,4,AMD
2026-02-20,2026-02-20 21:05:40+00:00,0000002488-26-000042,xslF345X05/wk-form4_1771621537.xml,4,AMD
2026-02-18,2026-02-18 21:39:47+00:00,0000002488-26-000039,xslF345X05/wk-form4_1771450784.xml,4,AMD
2026-02-18,2026-02-18 21:28:06+00:00,0000002488-26-000037,xslF345X05/wk-form4_1771450082.xml,4,AMD
2026-02-18,2026-02-18 21:24:34+00:00,0000002488-26-000035,xslF345X05/wk-form4_1771449870.xml,4,AMD
2026-02-18,2026-02-18 21:20:27+00:00,0000002488-26-000033,xslF345X05/wk-form4_1771449622.xml,4,AMD
2026-02-18,2026-02-18 21:17:55+00:00,0000002488-26-000031,xslF345X05/wk-form4_1771449472.xml,4,AMD
2026-02-13,2026-02-13 21:20:51+00:00,0000002488-26-000026,xslF345X05/wk-form4_1771017649.xml,4,AMD
2026-02-13,2026-02-13 21:11:43+00:00,0000002488-26-000024,xslF345X05/wk-form4_1771017100.xml,4,AMD
2026-01-21,2026-01-21 21:21:39+00:00,0000002488-26-000010,xslF345X05/wk-form4_1769030496.xml,4,AMD
2026-01-20,2026-01-20 21:37:18+00:00,0000002488-26-000006,xslF345X05/wk-form4_1768945035.xml,4,AMD
2026-01-20,2026-01-20 21:27:27+00:00,0000002488-26-000004,xslF345X05/wk-form4_1768944444.xml,4,AMD
2025-12-12,2025-12-12 21:18:36+00:00,0000002488-25-000179,xslF345X05/wk-form4_1765574313.xml,4,AMD
2025-12-08,2025-12-08 21:07:36+00:00,0001768248-25-000004,xslF345X05/wk-form4_1765228052.xml,4,AMD
2025-12-04,2025-12-04 21:11:27+00:00,0000002488-25-000177,xslF345X05/wk-form4_1764882685.xml,4,AMD
2025-11-28,2025-11-28 21:13:16+00:00,0000002488-25-000175,xslF345X05/wk-form4_1764364393.xml,4,AMD
2025-11-26,2025-11-26 21:08:22+00:00,0000002488-25-000173,xslF345X05/wk-form4_1764191298.xml,4,AMD
2025-11-21,2025-11-21 21:11:57+00:00,0000002488-25-000171,xslF345X05/wk-form4_1763759513.xml,4,AMD
2025-11-18,2025-11-18 21:09:29+00:00,0000002488-25-000168,xslF345X05/wk-form4_1763500164.xml,4,AMD
