filingDate,acceptanceDateTime,accessionNumber,primaryDocument,form,ticker
2026-04-17,2026-04-18 01:58:19+00:00,0001193125-26-162189,xslF345X06/ownership.xml,4,GOOGL
2026-04-10,2026-04-10 20:48:17+00:00,0001193125-26-151397,xslF345X06/ownership.xml,4,GOOGL
2026-04-10,2026-04-10 20:35:51+00:00,0001193125-26-151366,xslF345X06/ownership.xml,4,GOOGL
2026-04-10,2026-04-10 20:29:41+00:00,0001193125-26-151343,xslF345X06/ownership.xml,4,GOOGL
2026-04-10,2026-04-10 20:23:35+00:00,0001193125-26-151329,xslF345X06/ownership.xml,4,GOOGL
2026-04-03,2026-04-03 21:31:35+00:00,0001193125-26-142372,xslF345X06/ownership.xml,4,GOOGL
2026-03-31,2026-04-01 01:43:02+00:00,0001193125-26-135334,xslF345X06/ownership.xml,4,GOOGL
2026-03-31,2026-04-01 00:39:05+00:00,0001193125-26-135258,xslF345X06/ownership.xml,4,GOOGL
2026-03-27,2026-03-28 00:15:55+00:00,0001193125-26-129999,xslF345X06/ownership.xml,4,GOOGL
2026-03-27,2026-03-27 23:59:27+00:00,0001193125-26-129980,xslF345X06/ownership.xml,4,GOOGL
2026-03-27,2026-03-27 23:49:31+00:00,0001193125-26-129971,xslF345X06/ownership.xml,4,GOOGL
2026-03-27,2026-03-27 23:33:06+00:00,0001193125-26-129959,xslF345X06/ownership.xml,4,GOOGL
2026-03-27,2026-03-27 23:17:05+00:00,0001193125-26-129937,xslF345X06/ownership.xml,4,GOOGL
2026-03-27,2026-03-27 22:59:56+00:00,0001193125-26-129915,xslF345X06/ownership.xml,4,GOOGL
2026-03-18,2026-03-19 01:51:08+00:00,0001193125-26-114872,xslF345X06/ownership.xml,4,GOOGL
2026-03-18,2026-03-19 01:50:43+00:00,0001193125-26-114871,xslF345X06/ownership.xml,4,GOOGL
2026-03-18,2026-03-19 01:50:21+00:00,0001193125-26-114868,xslF345X06/ownership.xml,4,GOOGL
2026-03-18,2026-03-19 01:48:35+00:00,0001193125-26-114859,xslF345X06/ownership.xml,4,GOOGL
2026-03-18,2026-03-19 01:45:39+00:00,0001193125-26-114855,xslF345X06/ownership.xml,4,GOOGL
2026-03-18,2026-03-19 01:45:18+00:00,0001193125-26-114853,xslF345X06/ownership.xml,4,GOOGL
2026-03-18,2026-03-19 01:44:51+00:00,0001193125-26-114850,xslF345X06/ownership.xml,4,GOOGL
2026-03-18,2026-03-19 01:44:19+00:00,0001193125-26-114847,xslF345X06/ownership.xml,4,GOOGL
2026-03-18,2026-03-19 01:43:48+00:00,0001193125-26-114844,xslF345X06/ownership.xml,4,GOOGL
2026-03-18,2026-03-19 01:43:20+00:00,0001193125-26-114842,xslF345X06/ownership.xml,4,GOOGL
2026-03-18,2026-03-19 01:42:47+00:00,0001193125-26-114840,xslF345X06/ownership.xml,4,GOOGL
2026-03-18,2026-03-19 01:39:47+00:00,0001193125-26-114831,xslF345X06/ownership.xml,4,GOOGL
2026-03-18,2026-03-19 01:25:23+00:00,0001193125-26-114804,xslF345X06/ownership.xml,4,GOOGL
2026-03-06,2026-03-06 22:43:01+00:00,0001193125-26-097008,xslF345X05/ownership.xml,4,GOOGL
2026-03-04,2026-03-04 22:31:50+00:00,0001193125-26-091916,xslF345X05/ownership.xml,4,GOOGL
2026-03-04,2026-03-04 22:31:03+00:00,0001193125-26-091912,xslF345X05/ownership.xml,4,GOOGL
2026-03-02,2026-03-03 00:27:29+00:00,0001193125-26-086140,xslF345X05/ownership.xml,4,GOOGL
2026-02-27,2026-02-28 00:08:46+00:00,0001193125-26-083604,xslF345X05/ownership.xml,4,GOOGL
2026-02-25,2026-02-26 00:17:50+00:00,0001193125-26-072513,xslF345X05/ownership.xml,4,GOOGL
2026-02-20,2026-02-20 23:27:06+00:00,0001193125-26-061779,xslF345X05/ownership.xml,4/A,GOOGL
2026-02-20,2026-02-20 22:56:10+00:00,0001193125-26-061731,xslF345X05/ownership.xml,4/A,GOOGL
2026-02-20,2026-02-20 22:34:53+00:00,0001193125-26-061707,xslF345X05/ownership.xml,4,GOOGL
2026-02-20,2026-02-20 22:14:05+00:00,0001193125-26-061632,xslF345X05/ownership.xml,4,GOOGL
2026-02-20,2026-02-20 22:13:15+00:00,0001193125-26-061630,xslF345X05/ownership.xml,4/A,GOOGL
2026-02-19,2026-02-20 01:48:14+00:00,0001193125-26-060024,xslF345X05/ownership.xml,4,GOOGL
2026-02-17,2026-02-18 01:24:00+00:00,0001193125-26-055574,xslF345X05/ownership.xml,4,GOOGL
2026-02-12,2026-02-13 00:19:00+00:00,0001193125-26-049261,xslF345X05/ownership.xml,4,GOOGL
2026-02-06,2026-02-07 00:36:40+00:00,0001193125-26-041594,xslF345X05/ownership.xml,4,GOOGL
2026-02-03,2026-02-03 23:50:39+00:00,0001193125-26-036148,xslF345X05/ownership.xml,4,GOOGL
2026-01-30,2026-01-31 00:52:51+00:00,0001193125-26-032283,xslF345X05/ownership.xml,4,GOOGL
2026-01-30,2026-01-30 23:43:02+00:00,0001168404-26-000007,xslF345X05/form4-01302026_110152.xml,4,GOOGL
2026-01-27,2026-01-28 01:46:53+00:00,0001193125-26-025268,xslF345X05/ownership.xml,4,GOOGL
2026-01-23,2026-01-24 00:47:17+00:00,0001193125-26-021420,xslF345X05/ownership.xml,4,GOOGL
2026-01-15,2026-01-16 01:23:30+00:00,0001193125-26-014386,xslF345X05/ownership.xml,4,GOOGL
2026-01-15,2026-01-16 01:20:10+00:00,0001193125-26-014384,xslF345X05/ownership.xml,4,GOOGL
2026-01-15,2026-01-16 01:18:13+00:00,0001193125-26-014381,xslF345X05/ownership.xml,4,GOOGL
2026-01-15,2026-01-16 01:14:34+00:00,0001193125-26-014378,xslF345X05/ownership.xml,4,GOOGL
2026-01-08,2026-01-08 23:06:10+00:00,0001193125-26-007914,xslF345X05/ownership.xml,4,GOOGL
2026-01-02,2026-01-02 22:41:00+00:00,0001193125-26-001121,xslF345X05/ownership.xml,4,GOOGL
2025-12-31,2025-12-31 23:23:29+00:00,0001193125-25-338475,xslF345X05/ownership.xml,4,GOOGL
2025-12-31,2025-12-31 22:31:41+00:00,0001193125-25-338435,xslF345X05/ownership.xml,4,GOOGL
