filingDate,acceptanceDateTime,accessionNumber,primaryDocument,form,ticker
2026-05-06,2026-05-06 22:48:14+00:00,0000950103-26-006913,xslF345X06/ownership.xml,4,META
2026-05-05,2026-05-05 22:20:13+00:00,0000950103-26-006874,xslF345X06/ownership.xml,4,META
2026-04-29,2026-04-29 23:32:34+00:00,0000950103-26-006451,xslF345X06/ownership.xml,4,META
2026-04-22,2026-04-22 18:31:15+00:00,0000950103-26-006068,xslF345X06/ownership.xml,4,META
2026-04-17,2026-04-17 22:16:53+00:00,0000950103-26-005904,xslF345X06/ownership.xml,4,META
2026-04-15,2026-04-15 22:31:24+00:00,0000950103-26-005766,xslF345X06/ownership.xml,4,META
2026-03-25,2026-03-25 22:32:50+00:00,0000950103-26-004660,xslF345X06/dp244081_4-olivan.xml,4,META
2026-03-24,2026-03-25 01:46:15+00:00,0000950103-26-004604,xslF345X06/dp243959_4-anderson.xml,4,META
2026-03-24,2026-03-25 01:44:34+00:00,0000950103-26-004603,xslF345X06/dp243933_4-li.xml,4,META
2026-03-24,2026-03-25 01:42:01+00:00,0000950103-26-004602,xslF345X06/dp243960_4-bosworth.xml,4,META
2026-03-24,2026-03-25 01:40:44+00:00,0000950103-26-004601,xslF345X06/dp243961_4-cox.xml,4,META
2026-03-24,2026-03-25 01:38:35+00:00,0000950103-26-004600,xslF345X06/dp243963_4-olivan.xml,4,META
2026-03-24,2026-03-25 01:33:53+00:00,0000950103-26-004599,xslF345X06/dp243962_4-mahoney.xml,4,META
2026-03-24,2026-03-25 01:26:46+00:00,0000950103-26-004598,xslF345X06/dp243964_4-powell.xml,4,META
2026-03-18,2026-03-18 22:14:31+00:00,0000950103-26-004335,xslF345X06/dp243607_4-kimmitt.xml,4,META
2026-03-18,2026-03-18 22:09:42+00:00,0000950103-26-004334,xslF345X06/dp243608_4-olivan.xml,4,META
2026-03-11,2026-03-11 22:17:24+00:00,0000950103-26-003623,xslF345X05/dp243045_4-olivan.xml,4,META
2026-03-04,2026-03-05 00:12:22+00:00,0000950103-26-003256,xslF345X05/dp242650_4-olivan.xml,4,META
2026-03-03,2026-03-03 23:23:59+00:00,0000950103-26-003174,xslF345X05/dp242481_4-li.xml,4,META
