issuer_cik,issuer_ticker,owner_name,is_director,is_officer,officer_title,is_ten_percent_owner,security_title,transaction_date,transaction_code,shares,price_per_share,acquired_disposed_code,shares_owned_following,ownership_nature,conversion_or_exercise_price,ticker,filing_date,acceptance_datetime,accession_number,xml_url
0001326801,META,Anderson Aaron,0,1,Chief Accounting Officer,0,Restricted Stock Units (RSU) (Class A),2026-03-20,A,5364,0,A,5364,D,,META,2026-03-24,2026-03-25 01:46:15+00:00,0000950103-26-004604,https://www.sec.gov/Archives/edgar/data/1326801/000095010326004604/dp243959_4-anderson.xml
0001326801,META,LI SUSAN J,0,1,Chief Financial Officer,0,Restricted Stock Units (RSU) (Class A),2026-03-20,A,43267,0,A,43267,D,,META,2026-03-24,2026-03-25 01:44:34+00:00,0000950103-26-004603,https://www.sec.gov/Archives/edgar/data/1326801/000095010326004603/dp243933_4-li.xml
0001326801,META,LI SUSAN J,0,1,Chief Financial Officer,0,Stock Options (right to buy),2026-03-20,A,12806,0,A,12806,D,1116.08,META,2026-03-24,2026-03-25 01:44:34+00:00,0000950103-26-004603,https://www.sec.gov/Archives/edgar/data/1326801/000095010326004603/dp243933_4-li.xml
0001326801,META,LI SUSAN J,0,1,Chief Financial Officer,0,Stock Options (right to buy),2026-03-20,A,18066,0,A,18066,D,1393.87,META,2026-03-24,2026-03-25 01:44:34+00:00,0000950103-26-004603,https://www.sec.gov/Archives/edgar/data/1326801/000095010326004603/dp243933_4-li.xml
0001326801,META,LI SUSAN J,0,1,Chief Financial Officer,0,Stock Options (right to buy),2026-03-20,A,29340,0,A,29340,D,1724.41,META,2026-03-24,2026-03-25 01:44:34+00:00,0000950103-26-004603,https://www.sec.gov/Archives/edgar/data/1326801/000095010326004603/dp243933_4-li.xml
0001326801,META,LI SUSAN J,0,1,Chief Financial Officer,0,Stock Options (right to buy),2026-03-20,A,97541,0,A,97541,D,2114.87,META,2026-03-24,2026-03-25 01:44:34+00:00,0000950103-26-004603,https://www.sec.gov/Archives/edgar/data/1326801/000095010326004603/dp243933_4-li.xml
0001326801,META,LI SUSAN J,0,1,Chief Financial Officer,0,Stock Options (right to buy),2026-03-20,A,155491,0,A,155491,D,2573.06,META,2026-03-24,2026-03-25 01:44:34+00:00,0000950103-26-004603,https://www.sec.gov/Archives/edgar/data/1326801/000095010326004603/dp243933_4-li.xml
0001326801,META,LI SUSAN J,0,1,Chief Financial Officer,0,Stock Options (right to buy),2026-03-20,A,249382,0,A,249382,D,3107.44,META,2026-03-24,2026-03-25 01:44:34+00:00,0000950103-26-004603,https://www.sec.gov/Archives/edgar/data/1326801/000095010326004603/dp243933_4-li.xml
0001326801,META,LI SUSAN J,0,1,Chief Financial Officer,0,Stock Options (right to buy),2026-03-20,A,91239,0,A,91239,D,3727.12,META,2026-03-24,2026-03-25 01:44:34+00:00,0000950103-26-004603,https://www.sec.gov/Archives/edgar/data/1326801/000095010326004603/dp243933_4-li.xml
0001326801,META,Bosworth Andrew,0,1,Chief Technology Officer,0,Restricted Stock Units (RSU) (Class A),2026-03-20,A,79324,0,A,79324,D,,META,2026-03-24,2026-03-25 01:42:01+00:00,0000950103-26-004602,https://www.sec.gov/Archives/edgar/data/1326801/000095010326004602/dp243960_4-bosworth.xml
0001326801,META,Bosworth Andrew,0,1,Chief Technology Officer,0,Stock Options (right to buy),2026-03-20,A,12806,0,A,12806,D,1116.08,META,2026-03-24,2026-03-25 01:42:01+00:00,0000950103-26-004602,https://www.sec.gov/Archives/edgar/data/1326801/000095010326004602/dp243960_4-bosworth.xml
0001326801,META,Bosworth Andrew,0,1,Chief Technology Officer,0,Stock Options (right to buy),2026-03-20,A,18066,0,A,18066,D,1393.87,META,2026-03-24,2026-03-25 01:42:01+00:00,0000950103-26-004602,https://www.sec.gov/Archives/edgar/data/1326801/000095010326004602/dp243960_4-bosworth.xml
0001326801,META,Bosworth Andrew,0,1,Chief Technology Officer,0,Stock Options (right to buy),2026-03-20,A,29340,0,A,29340,D,1724.41,META,2026-03-24,2026-03-25 01:42:01+00:00,0000950103-26-004602,https://www.sec.gov/Archives/edgar/data/1326801/000095010326004602/dp243960_4-bosworth.xml
0001326801,META,Bosworth Andrew,0,1,Chief Technology Officer,0,Stock Options (right to buy),2026-03-20,A,97541,0,A,97541,D,2114.87,META,2026-03-24,2026-03-25 01:42:01+00:00,0000950103-26-004602,https://www.sec.gov/Archives/edgar/data/1326801/000095010326004602/dp243960_4-bosworth.xml
0001326801,META,Bosworth Andrew,0,1,Chief Technology Officer,0,Stock Options (right to buy),2026-03-20,A,155491,0,A,155491,D,2573.06,META,2026-03-24,2026-03-25 01:42:01+00:00,0000950103-26-004602,https://www.sec.gov/Archives/edgar/data/1326801/000095010326004602/dp243960_4-bosworth.xml
0001326801,META,Bosworth Andrew,0,1,Chief Technology Officer,0,Stock Options (right to buy),2026-03-20,A,249382,0,A,249382,D,3107.44,META,2026-03-24,2026-03-25 01:42:01+00:00,0000950103-26-004602,https://www.sec.gov/Archives/edgar/data/1326801/000095010326004602/dp243960_4-bosworth.xml
0001326801,META,Bosworth Andrew,0,1,Chief Technology Officer,0,Stock Options (right to buy),2026-03-20,A,91239,0,A,91239,D,3727.12,META,2026-03-24,2026-03-25 01:42:01+00:00,0000950103-26-004602,https://www.sec.gov/Archives/edgar/data/1326801/000095010326004602/dp243960_4-bosworth.xml
0001326801,META,Cox Christopher K,0,1,Chief Product Officer,0,Restricted Stock Units (RSU) (Class A),2026-03-20,A,79324,0,A,79324,D,,META,2026-03-24,2026-03-25 01:40:44+00:00,0000950103-26-004601,https://www.sec.gov/Archives/edgar/data/1326801/000095010326004601/dp243961_4-cox.xml
0001326801,META,Cox Christopher K,0,1,Chief Product Officer,0,Stock Options (right to buy),2026-03-20,A,12806,0,A,12806,D,1116.08,META,2026-03-24,2026-03-25 01:40:44+00:00,0000950103-26-004601,https://www.sec.gov/Archives/edgar/data/1326801/000095010326004601/dp243961_4-cox.xml
0001326801,META,Cox Christopher K,0,1,Chief Product Officer,0,Stock Options (right to buy),2026-03-20,A,18066,0,A,18066,D,1393.87,META,2026-03-24,2026-03-25 01:40:44+00:00,0000950103-26-004601,https://www.sec.gov/Archives/edgar/data/1326801/000095010326004601/dp243961_4-cox.xml
0001326801,META,Cox Christopher K,0,1,Chief Product Officer,0,Stock Options (right to buy),2026-03-20,A,29340,0,A,29340,D,1724.41,META,2026-03-24,2026-03-25 01:40:44+00:00,0000950103-26-004601,https://www.sec.gov/Archives/edgar/data/1326801/000095010326004601/dp243961_4-cox.xml
0001326801,META,Cox Christopher K,0,1,Chief Product Officer,0,Stock Options (right to buy),2026-03-20,A,97541,0,A,97541,D,2114.87,META,2026-03-24,2026-03-25 01:40:44+00:00,0000950103-26-004601,https://www.sec.gov/Archives/edgar/data/1326801/000095010326004601/dp243961_4-cox.xml
0001326801,META,Cox Christopher K,0,1,Chief Product Officer,0,Stock Options (right to buy),2026-03-20,A,155491,0,A,155491,D,2573.06,META,2026-03-24,2026-03-25 01:40:44+00:00,0000950103-26-004601,https://www.sec.gov/Archives/edgar/data/1326801/000095010326004601/dp243961_4-cox.xml
0001326801,META,Cox Christopher K,0,1,Chief Product Officer,0,Stock Options (right to buy),2026-03-20,A,249382,0,A,249382,D,3107.44,META,2026-03-24,2026-03-25 01:40:44+00:00,0000950103-26-004601,https://www.sec.gov/Archives/edgar/data/1326801/000095010326004601/dp243961_4-cox.xml
0001326801,META,Cox Christopher K,0,1,Chief Product Officer,0,Stock Options (right to buy),2026-03-20,A,91239,0,A,91239,D,3727.12,META,2026-03-24,2026-03-25 01:40:44+00:00,0000950103-26-004601,https://www.sec.gov/Archives/edgar/data/1326801/000095010326004601/dp243961_4-cox.xml
0001326801,META,Olivan Javier,0,1,Chief Operating Officer,0,Restricted Stock Units (RSU) (Class A),2026-03-20,A,79324,0,A,79324,D,,META,2026-03-24,2026-03-25 01:38:35+00:00,0000950103-26-004600,https://www.sec.gov/Archives/edgar/data/1326801/000095010326004600/dp243963_4-olivan.xml
