issuer_cik,issuer_ticker,owner_name,is_director,is_officer,officer_title,is_ten_percent_owner,security_title,transaction_date,transaction_code,shares,price_per_share,acquired_disposed_code,shares_owned_following,ownership_nature,ticker,filing_date,acceptance_datetime,accession_number,xml_url
0000789019,MSFT,Coleman Amy,0,1,"EVP, Chief Human Resources Off",0,Common Stock,2026-04-15,F,1363.733,393.11,D,47265.6921,D,MSFT,2026-04-15,2026-04-15 22:00:00+00:00,0000789019-26-000070,https://www.sec.gov/Archives/edgar/data/789019/000078901926000070/form4.xml
0000789019,MSFT,Coleman Amy,0,1,"EVP, Chief Human Resources Off",0,Common Stock,2026-03-16,F,31.095,395.55,D,48576.5643,D,MSFT,2026-03-16,2026-03-16 22:07:47+00:00,0000789019-26-000066,https://www.sec.gov/Archives/edgar/data/789019/000078901926000066/form4.xml
0000789019,MSFT,Hogan Kathleen T,0,1,"EVP, Strategy",0,Common Stock,2026-03-06,S,12320.87,409.52,D,137933.097,D,MSFT,2026-03-09,2026-03-09 22:04:22+00:00,0000789019-26-000048,https://www.sec.gov/Archives/edgar/data/789019/000078901926000048/form4.xml
0000789019,MSFT,Numoto Takeshi,0,1,"EVP, Chief Marketing Officer",0,Common Stock,2026-03-02,F,1351.169,392.74,D,54430.5515,D,MSFT,2026-03-03,2026-03-03 23:01:15+00:00,0000789019-26-000046,https://www.sec.gov/Archives/edgar/data/789019/000078901926000046/form4.xml
0000789019,MSFT,Hood Amy,0,1,"EVP, Chief Financial Officer",0,Common Stock,2026-03-02,F,4789.714,392.74,D,562777.2500,D,MSFT,2026-03-03,2026-03-03 23:00:54+00:00,0000789019-26-000045,https://www.sec.gov/Archives/edgar/data/789019/000078901926000045/form4.xml
0000789019,MSFT,Jolla Alice L.,0,1,Chief Accounting Officer,0,Common Stock,2026-03-02,F,424.204,392.74,D,71561.2426,D,MSFT,2026-03-03,2026-03-03 23:00:35+00:00,0000789019-26-000044,https://www.sec.gov/Archives/edgar/data/789019/000078901926000044/form4.xml
0000789019,MSFT,SMITH BRADFORD L,0,1,Vice Chair and President,0,Common Stock,2026-03-02,F,3589.532,392.74,D,448007.2313,D,MSFT,2026-03-03,2026-03-03 23:00:14+00:00,0000789019-26-000043,https://www.sec.gov/Archives/edgar/data/789019/000078901926000043/form4.xml
0000789019,MSFT,Hogan Kathleen T,0,1,"EVP, Strategy",0,Common Stock,2026-03-02,F,977.658,392.74,D,150253.9670,D,MSFT,2026-03-03,2026-03-03 22:59:48+00:00,0000789019-26-000042,https://www.sec.gov/Archives/edgar/data/789019/000078901926000042/form4.xml
0000789019,MSFT,Althoff Judson,0,1,"CEO, Commercial",0,Common Stock,2026-03-02,F,3401.247,392.74,D,125947.4340,D,MSFT,2026-03-03,2026-03-03 22:59:29+00:00,0000789019-26-000041,https://www.sec.gov/Archives/edgar/data/789019/000078901926000041/form4.xml
0000789019,MSFT,Coleman Amy,0,1,"EVP, Chief Human Resources Off",0,Common Stock,2026-03-02,F,638.577,392.74,D,48607.6593,D,MSFT,2026-03-03,2026-03-03 22:58:50+00:00,0000789019-26-000040,https://www.sec.gov/Archives/edgar/data/789019/000078901926000040/form4.xml
