issuer_cik,issuer_ticker,owner_name,is_director,is_officer,officer_title,is_ten_percent_owner,security_title,transaction_date,transaction_code,shares,price_per_share,acquired_disposed_code,shares_owned_following,ownership_nature,ticker,filing_date,acceptance_datetime,accession_number,xml_url
0001045810,NVDA,STEVENS MARK A,1,0,,0,Common Stock,2026-03-20,S,100000,172.6068,D,7521453,I,NVDA,2026-03-24,2026-03-24 21:13:39+00:00,0001199039-26-000003,https://www.sec.gov/Archives/edgar/data/1045810/000119903926000003/wk-form4_1774386816.xml
0001045810,NVDA,STEVENS MARK A,1,0,,0,Common Stock,2026-03-20,S,121682,174.5685,D,7399771,I,NVDA,2026-03-24,2026-03-24 21:13:39+00:00,0001199039-26-000003,https://www.sec.gov/Archives/edgar/data/1045810/000119903926000003/wk-form4_1774386816.xml
0001045810,NVDA,Shah Aarti S.,1,0,,0,Common,2026-03-19,S,8516,176.2743,D,46491,D,NVDA,2026-03-20,2026-03-21 00:14:03+00:00,0001725292-26-000002,https://www.sec.gov/Archives/edgar/data/1045810/000172529226000002/wk-form4_1774052040.xml
0001045810,NVDA,Shah Aarti S.,1,0,,0,Common,2026-03-19,S,10282,177.0565,D,36209,D,NVDA,2026-03-20,2026-03-21 00:14:03+00:00,0001725292-26-000002,https://www.sec.gov/Archives/edgar/data/1045810/000172529226000002/wk-form4_1774052040.xml
0001045810,NVDA,Shah Aarti S.,1,0,,0,Common,2026-03-19,S,202,177.7335,D,36007,D,NVDA,2026-03-20,2026-03-21 00:14:03+00:00,0001725292-26-000002,https://www.sec.gov/Archives/edgar/data/1045810/000172529226000002/wk-form4_1774052040.xml
0001045810,NVDA,Robertson Donald F Jr,0,1,Principal Accounting Officer,0,Common Stock,2026-03-18,F,4575,181.93,D,342516,D,NVDA,2026-03-20,2026-03-21 00:13:05+00:00,0001526111-26-000005,https://www.sec.gov/Archives/edgar/data/1045810/000152611126000005/wk-form4_1774051982.xml
0001045810,NVDA,Robertson Donald F Jr,0,1,Principal Accounting Officer,0,Common Stock,2026-03-20,S,1196,172.5777,D,341320,D,NVDA,2026-03-20,2026-03-21 00:13:05+00:00,0001526111-26-000005,https://www.sec.gov/Archives/edgar/data/1045810/000152611126000005/wk-form4_1774051982.xml
0001045810,NVDA,Robertson Donald F Jr,0,1,Principal Accounting Officer,0,Common Stock,2026-03-20,S,400,172.97,D,340920,D,NVDA,2026-03-20,2026-03-21 00:13:05+00:00,0001526111-26-000005,https://www.sec.gov/Archives/edgar/data/1045810/000152611126000005/wk-form4_1774051982.xml
0001045810,NVDA,Robertson Donald F Jr,0,1,Principal Accounting Officer,0,Common Stock,2026-03-20,S,500,173.778,D,340420,D,NVDA,2026-03-20,2026-03-21 00:13:05+00:00,0001526111-26-000005,https://www.sec.gov/Archives/edgar/data/1045810/000152611126000005/wk-form4_1774051982.xml
0001045810,NVDA,Robertson Donald F Jr,0,1,Principal Accounting Officer,0,Common Stock,2026-03-20,S,600,174.8467,D,339820,D,NVDA,2026-03-20,2026-03-21 00:13:05+00:00,0001526111-26-000005,https://www.sec.gov/Archives/edgar/data/1045810/000152611126000005/wk-form4_1774051982.xml
0001045810,NVDA,Robertson Donald F Jr,0,1,Principal Accounting Officer,0,Common Stock,2026-03-20,S,2100,175.7948,D,337720,D,NVDA,2026-03-20,2026-03-21 00:13:05+00:00,0001526111-26-000005,https://www.sec.gov/Archives/edgar/data/1045810/000152611126000005/wk-form4_1774051982.xml
