filingDate,acceptanceDateTime,accessionNumber,primaryDocument,form,ticker
2026-03-24,2026-03-24 21:13:39+00:00,0001199039-26-000003,xslF345X06/wk-form4_1774386816.xml,4,NVDA
2026-03-20,2026-03-21 00:14:03+00:00,0001725292-26-000002,xslF345X06/wk-form4_1774052040.xml,4,NVDA
2026-03-20,2026-03-21 00:13:05+00:00,0001526111-26-000005,xslF345X06/wk-form4_1774051982.xml,4,NVDA
2026-03-20,2026-03-21 00:11:05+00:00,0001696841-26-000006,xslF345X06/wk-form4_1774051862.xml,4,NVDA
2026-03-20,2026-03-21 00:10:15+00:00,0001283854-26-000006,xslF345X06/wk-form4_1774051812.xml,4,NVDA
2026-03-20,2026-03-21 00:08:19+00:00,0001347842-26-000011,xslF345X06/wk-form4_1774051696.xml,4,NVDA
2026-03-20,2026-03-21 00:07:15+00:00,0001588670-26-000010,xslF345X06/wk-form4_1774051632.xml,4,NVDA
2026-03-20,2026-03-21 00:06:01+00:00,0001197649-26-000005,xslF345X06/wk-form4_1774051558.xml,4,NVDA
2026-03-19,2026-03-19 21:26:58+00:00,0001197652-26-000003,xslF345X06/wk-form4_1773955615.xml,4,NVDA
2026-03-17,2026-03-17 21:12:20+00:00,0001818224-26-000002,xslF345X05/wk-form4_1773781935.xml,4,NVDA
2026-03-11,2026-03-11 22:15:53+00:00,0001696841-26-000004,xslF345X05/wk-form4_1773267350.xml,4,NVDA
2026-03-11,2026-03-11 22:14:29+00:00,0001283854-26-000004,xslF345X05/wk-form4_1773267265.xml,4,NVDA
2026-03-11,2026-03-11 22:12:42+00:00,0001588670-26-000008,xslF345X05/wk-form4_1773267159.xml,4,NVDA
2026-03-11,2026-03-11 22:10:58+00:00,0001347842-26-000009,xslF345X05/wk-form4_1773267054.xml,4,NVDA
2026-03-04,2026-03-04 22:33:32+00:00,0001347842-26-000007,xslF345X05/wk-form4_1772663608.xml,4,NVDA
2026-03-04,2026-03-04 22:32:42+00:00,0001283854-26-000002,xslF345X05/wk-form4_1772663559.xml,4,NVDA
2026-03-04,2026-03-04 22:31:54+00:00,0001588670-26-000006,xslF345X05/wk-form4_1772663512.xml,4,NVDA
2026-03-04,2026-03-04 22:31:08+00:00,0001696841-26-000002,xslF345X05/wk-form4_1772663465.xml,4,NVDA
2026-03-04,2026-03-04 22:30:08+00:00,0001197649-26-000003,xslF345X05/wk-form4_1772663406.xml,4,NVDA
2026-02-06,2026-02-06 22:06:41+00:00,0001588670-26-000004,xslF345X05/wk-form4_1770415598.xml,4,NVDA
