issuer_cik,issuer_ticker,owner_name,is_director,is_officer,officer_title,is_ten_percent_owner,security_title,transaction_date,transaction_code,shares,price_per_share,acquired_disposed_code,shares_owned_following,ownership_nature,ticker,filing_date,acceptance_datetime,accession_number,xml_url
0001318605,TSLA,Wilson-Thompson Kathleen,1,0,,0,Common Stock,2026-04-30,M,40948,14.99,A,74808,D,TSLA,2026-05-04,2026-05-04 23:00:15+00:00,0001104659-26-055079,https://www.sec.gov/Archives/edgar/data/1318605/000110465926055079/tm2613330-1_4seq1.xml
0001318605,TSLA,Wilson-Thompson Kathleen,1,0,,0,Common Stock,2026-04-30,S,840,369.010,D,73968,D,TSLA,2026-05-04,2026-05-04 23:00:15+00:00,0001104659-26-055079,https://www.sec.gov/Archives/edgar/data/1318605/000110465926055079/tm2613330-1_4seq1.xml
0001318605,TSLA,Wilson-Thompson Kathleen,1,0,,0,Common Stock,2026-04-30,S,1520,369.769,D,72448,D,TSLA,2026-05-04,2026-05-04 23:00:15+00:00,0001104659-26-055079,https://www.sec.gov/Archives/edgar/data/1318605/000110465926055079/tm2613330-1_4seq1.xml
0001318605,TSLA,Wilson-Thompson Kathleen,1,0,,0,Common Stock,2026-04-30,S,1275,370.929,D,71173,D,TSLA,2026-05-04,2026-05-04 23:00:15+00:00,0001104659-26-055079,https://www.sec.gov/Archives/edgar/data/1318605/000110465926055079/tm2613330-1_4seq1.xml
0001318605,TSLA,Wilson-Thompson Kathleen,1,0,,0,Common Stock,2026-04-30,S,1020,371.881,D,70153,D,TSLA,2026-05-04,2026-05-04 23:00:15+00:00,0001104659-26-055079,https://www.sec.gov/Archives/edgar/data/1318605/000110465926055079/tm2613330-1_4seq1.xml
0001318605,TSLA,Wilson-Thompson Kathleen,1,0,,0,Common Stock,2026-04-30,S,619,372.819,D,69534,D,TSLA,2026-05-04,2026-05-04 23:00:15+00:00,0001104659-26-055079,https://www.sec.gov/Archives/edgar/data/1318605/000110465926055079/tm2613330-1_4seq1.xml
0001318605,TSLA,Wilson-Thompson Kathleen,1,0,,0,Common Stock,2026-04-30,S,520,374.402,D,69014,D,TSLA,2026-05-04,2026-05-04 23:00:15+00:00,0001104659-26-055079,https://www.sec.gov/Archives/edgar/data/1318605/000110465926055079/tm2613330-1_4seq1.xml
0001318605,TSLA,Wilson-Thompson Kathleen,1,0,,0,Common Stock,2026-04-30,S,280,375.149,D,68734,D,TSLA,2026-05-04,2026-05-04 23:00:15+00:00,0001104659-26-055079,https://www.sec.gov/Archives/edgar/data/1318605/000110465926055079/tm2613330-1_4seq1.xml
0001318605,TSLA,Wilson-Thompson Kathleen,1,0,,0,Common Stock,2026-04-30,S,1081,376.689,D,67653,D,TSLA,2026-05-04,2026-05-04 23:00:15+00:00,0001104659-26-055079,https://www.sec.gov/Archives/edgar/data/1318605/000110465926055079/tm2613330-1_4seq1.xml
0001318605,TSLA,Wilson-Thompson Kathleen,1,0,,0,Common Stock,2026-04-30,S,3003,377.487,D,64650,D,TSLA,2026-05-04,2026-05-04 23:00:15+00:00,0001104659-26-055079,https://www.sec.gov/Archives/edgar/data/1318605/000110465926055079/tm2613330-1_4seq1.xml
0001318605,TSLA,Wilson-Thompson Kathleen,1,0,,0,Common Stock,2026-04-30,S,3480,378.573,D,61170,D,TSLA,2026-05-04,2026-05-04 23:00:15+00:00,0001104659-26-055079,https://www.sec.gov/Archives/edgar/data/1318605/000110465926055079/tm2613330-1_4seq1.xml
0001318605,TSLA,Wilson-Thompson Kathleen,1,0,,0,Common Stock,2026-04-30,S,1760,379.427,D,59410,D,TSLA,2026-05-04,2026-05-04 23:00:15+00:00,0001104659-26-055079,https://www.sec.gov/Archives/edgar/data/1318605/000110465926055079/tm2613330-1_4seq1.xml
0001318605,TSLA,Wilson-Thompson Kathleen,1,0,,0,Common Stock,2026-04-30,S,1755,380.756,D,57655,D,TSLA,2026-05-04,2026-05-04 23:00:15+00:00,0001104659-26-055079,https://www.sec.gov/Archives/edgar/data/1318605/000110465926055079/tm2613330-1_4seq1.xml
0001318605,TSLA,Wilson-Thompson Kathleen,1,0,,0,Common Stock,2026-04-30,S,6896,381.607,D,50759,D,TSLA,2026-05-04,2026-05-04 23:00:15+00:00,0001104659-26-055079,https://www.sec.gov/Archives/edgar/data/1318605/000110465926055079/tm2613330-1_4seq1.xml
0001318605,TSLA,Wilson-Thompson Kathleen,1,0,,0,Common Stock,2026-04-30,S,680,382.414,D,50079,D,TSLA,2026-05-04,2026-05-04 23:00:15+00:00,0001104659-26-055079,https://www.sec.gov/Archives/edgar/data/1318605/000110465926055079/tm2613330-1_4seq1.xml
0001318605,TSLA,Wilson-Thompson Kathleen,1,0,,0,Common Stock,2026-04-30,S,1240,383.612,D,48839,D,TSLA,2026-05-04,2026-05-04 23:00:15+00:00,0001104659-26-055079,https://www.sec.gov/Archives/edgar/data/1318605/000110465926055079/tm2613330-1_4seq1.xml
0001318605,TSLA,Wilson-Thompson Kathleen,1,0,,0,Common Stock,2026-04-30,S,440,384.284,D,48399,D,TSLA,2026-05-04,2026-05-04 23:00:15+00:00,0001104659-26-055079,https://www.sec.gov/Archives/edgar/data/1318605/000110465926055079/tm2613330-1_4seq1.xml
0001318605,TSLA,Musk Elon,1,1,CEO,1,Common Stock,2026-04-21,D,96000000,0.00,D,423743904,D,TSLA,2026-04-23,2026-04-23 20:05:10+00:00,0001104659-26-047678,https://www.sec.gov/Archives/edgar/data/1318605/000110465926047678/tm2612285-1_4seq1.xml
0001318605,TSLA,Zhu Xiaotong,0,1,SVP,0,Common Stock,2026-03-31,M,20000,20.57,A,20000,D,TSLA,2026-04-02,2026-04-03 00:08:52+00:00,0001972928-26-000002,https://www.sec.gov/Archives/edgar/data/1318605/000197292826000002/edgardoc.xml
0001318605,TSLA,Wilson-Thompson Kathleen,1,0,,0,Common Stock,2026-03-30,M,40000,14.99,A,59669,D,TSLA,2026-04-01,2026-04-01 23:00:13+00:00,0001104659-26-038682,https://www.sec.gov/Archives/edgar/data/1318605/000110465926038682/tm2610684-1_4seq1.xml
0001318605,TSLA,Wilson-Thompson Kathleen,1,0,,0,Common Stock,2026-03-30,S,2000,352.833,D,57669,D,TSLA,2026-04-01,2026-04-01 23:00:13+00:00,0001104659-26-038682,https://www.sec.gov/Archives/edgar/data/1318605/000110465926038682/tm2610684-1_4seq1.xml
0001318605,TSLA,Wilson-Thompson Kathleen,1,0,,0,Common Stock,2026-03-30,S,1640,353.658,D,56029,D,TSLA,2026-04-01,2026-04-01 23:00:13+00:00,0001104659-26-038682,https://www.sec.gov/Archives/edgar/data/1318605/000110465926038682/tm2610684-1_4seq1.xml
0001318605,TSLA,Wilson-Thompson Kathleen,1,0,,0,Common Stock,2026-03-30,S,1800,354.802,D,54229,D,TSLA,2026-04-01,2026-04-01 23:00:13+00:00,0001104659-26-038682,https://www.sec.gov/Archives/edgar/data/1318605/000110465926038682/tm2610684-1_4seq1.xml
0001318605,TSLA,Wilson-Thompson Kathleen,1,0,,0,Common Stock,2026-03-30,S,2481,355.644,D,51748,D,TSLA,2026-04-01,2026-04-01 23:00:13+00:00,0001104659-26-038682,https://www.sec.gov/Archives/edgar/data/1318605/000110465926038682/tm2610684-1_4seq1.xml
