filingDate,acceptanceDateTime,accessionNumber,primaryDocument,form,ticker
2026-05-04,2026-05-04 23:00:15+00:00,0001104659-26-055079,xslF345X06/tm2613330-1_4seq1.xml,4,TSLA
2026-04-23,2026-04-23 20:05:10+00:00,0001104659-26-047678,xslF345X06/tm2612285-1_4seq1.xml,4,TSLA
2026-04-02,2026-04-03 00:08:52+00:00,0001972928-26-000002,xslF345X06/edgardoc.xml,4,TSLA
2026-04-01,2026-04-01 23:00:13+00:00,0001104659-26-038682,xslF345X06/tm2610684-1_4seq1.xml,4,TSLA
2026-03-09,2026-03-09 23:00:14+00:00,0001104659-26-025379,xslF345X05/tm268346-1_4seq1.xml,4,TSLA
2026-02-27,2026-02-28 00:00:21+00:00,0001104659-26-021746,xslF345X05/tm267481-1_4seq1.xml,4,TSLA
2026-01-12,2026-01-13 00:04:08+00:00,0001972928-26-000001,xslF345X05/edgardoc.xml,4,TSLA
2026-01-06,2026-01-07 00:00:54+00:00,0001104659-26-001460,xslF345X05/tm261890-1_4seq1.xml,4,TSLA
2025-12-31,2026-01-01 02:09:16+00:00,0001104659-25-125703,xslF345X05/tm2534544-1_4seq1.xml,4,TSLA
2025-12-11,2025-12-12 00:00:13+00:00,0001104659-25-120387,xslF345X05/tm2533052-2_4seq1.xml,4,TSLA
2025-12-09,2025-12-10 00:00:14+00:00,0001104659-25-119764,xslF345X05/tm2533052-1_4seq1.xml,4,TSLA
2025-11-12,2025-11-13 00:00:14+00:00,0001104659-25-110597,xslF345X05/tm2530937-1_4seq1.xml,4,TSLA
2025-11-10,2025-11-10 22:00:11+00:00,0001104659-25-109263,xslF345X05/tm2530487-1_4seq1.xml,4,TSLA
2025-09-17,2025-09-17 23:00:22+00:00,0001104659-25-090923,xslF345X05/tm2526179-1_4seq1.xml,4,TSLA
2025-09-15,2025-09-15 10:01:19+00:00,0001104659-25-089693,xslF345X05/tm2526050-1_4seq1.xml,4,TSLA
2025-09-12,2025-09-12 22:48:59+00:00,0001972928-25-000004,xslF345X05/edgardoc.xml,4,TSLA
2025-09-09,2025-09-09 23:00:16+00:00,0001104659-25-088703,xslF345X05/tm2525620-1_4seq1.xml,4,TSLA
2025-08-28,2025-08-28 23:00:22+00:00,0001104659-25-084935,xslF345X05/tm2524512-1_4seq1.xml,4,TSLA
2025-08-04,2025-08-04 23:00:13+00:00,0001104659-25-073753,xslF345X05/tm2522507-1_4seq1.xml,4,TSLA
2025-07-15,2025-07-15 23:30:50+00:00,0001104659-25-068165,xslF345X05/tm2520998-1_4seq1.xml,4,TSLA
2025-07-09,2025-07-10 00:12:54+00:00,0001104659-25-066775,xslF345X05/tm2520098-1_4seq1.xml,4,TSLA
2025-06-16,2025-06-16 23:59:54+00:00,0001972928-25-000003,xslF345X05/edgardoc.xml,4,TSLA
2025-06-09,2025-06-09 23:59:00+00:00,0001104659-25-057932,xslF345X05/tm2517471-1_4seq1.xml,4,TSLA
2025-06-04,2025-06-05 01:00:09+00:00,0001104659-25-056561,xslF345X05/tm2517124-1_4seq1.xml,4,TSLA
2025-05-29,2025-05-29 23:02:10+00:00,0001104659-25-054372,xslF345X05/tm2516319-2_4seq1.xml,4,TSLA
2025-05-29,2025-05-29 23:00:18+00:00,0001104659-25-054371,xslF345X05/tm2516319-1_4seq1.xml,4,TSLA
2025-05-20,2025-05-20 23:24:21+00:00,0001771340-25-000009,xslF345X05/edgardoc.xml,4,TSLA
2025-05-13,2025-05-13 23:47:40+00:00,0001771340-25-000008,xslF345X05/edgardoc.xml,4,TSLA
2025-05-08,2025-05-08 23:00:09+00:00,0001104659-25-046296,xslF345X05/tm2514194-1_4seq1.xml,4,TSLA
2025-05-05,2025-05-06 01:33:46+00:00,0001771340-25-000007,xslF345X05/edgardoc.xml,4,TSLA
2025-05-01,2025-05-02 00:04:32+00:00,0001104659-25-043639,xslF345X05/tm2513581-6_4seq1.xml,4,TSLA
2025-05-01,2025-05-02 00:03:49+00:00,0001104659-25-043638,xslF345X05/tm2513581-5_4seq1.xml,4,TSLA
2025-05-01,2025-05-02 00:02:43+00:00,0001104659-25-043637,xslF345X05/tm2513581-4_4seq1.xml,4,TSLA
2025-05-01,2025-05-02 00:01:37+00:00,0001104659-25-043636,xslF345X05/tm2513581-3_4seq1.xml,4,TSLA
2025-05-01,2025-05-02 00:00:25+00:00,0001104659-25-043635,xslF345X05/tm2513581-2_4seq1.xml,4,TSLA
2025-05-01,2025-05-01 23:00:14+00:00,0001104659-25-043625,xslF345X05/tm2513581-1_4seq1.xml,4,TSLA
2025-04-28,2025-04-28 22:45:17+00:00,0001771340-25-000006,xslF345X05/edgardoc.xml,4,TSLA
2025-04-09,2025-04-09 23:35:02+00:00,0001771340-25-000005,xslF345X05/edgardoc.xml,4,TSLA
2025-03-12,2025-03-12 23:12:18+00:00,0001771340-25-000004,xslF345X05/edgardoc.xml,4,TSLA
2025-03-06,2025-03-07 01:40:21+00:00,0001771340-25-000003,xslF345X05/edgardoc.xml,4,TSLA
2025-03-05,2025-03-06 02:44:10+00:00,0001104659-25-021101,xslF345X05/tm258138-2_4seq1.xml,4,TSLA
2025-03-05,2025-03-06 00:01:19+00:00,0001104659-25-021023,xslF345X05/tm258138-1_4seq1.xml,4,TSLA
2025-02-10,2025-02-10 23:40:33+00:00,0001494731-25-000001,xslF345X05/edgardoc.xml,4,TSLA
2025-02-05,2025-02-06 01:19:30+00:00,0001771340-25-000002,xslF345X05/edgardoc.xml,4,TSLA
2025-02-05,2025-02-06 00:00:07+00:00,0000950170-25-014794,xslF345X05/ownership.xml,4,TSLA
2025-01-08,2025-01-09 00:48:44+00:00,0001771340-25-000001,xslF345X05/edgardoc.xml,4,TSLA
2025-01-08,2025-01-09 00:00:05+00:00,0000950170-25-003585,xslF345X05/ownership.xml,4,TSLA
2024-12-31,2025-01-01 00:32:23+00:00,0000950170-24-141705,xslF345X05/ownership.xml,4,TSLA
2024-12-13,2024-12-14 00:08:47+00:00,0001494731-24-000002,xslF345X05/edgardoc.xml,4,TSLA
2024-12-09,2024-12-09 23:58:03+00:00,0001771340-24-000009,xslF345X05/edgardoc.xml,4,TSLA
2024-12-06,2024-12-07 00:00:05+00:00,0000950170-24-134264,xslF345X05/ownership.xml,4,TSLA
2024-12-04,2024-12-05 01:24:06+00:00,0001771340-24-000008,xslF345X05/edgardoc.xml,4,TSLA
2024-12-04,2024-12-05 00:00:03+00:00,0000950170-24-133415,xslF345X05/ownership.xml,4,TSLA
2024-11-19,2024-11-20 00:00:03+00:00,0000950170-24-128931,xslF345X05/ownership.xml,4,TSLA
2024-11-13,2024-11-14 00:27:34+00:00,0001771340-24-000007,xslF345X05/edgardoc.xml,4,TSLA
2024-11-13,2024-11-14 00:00:14+00:00,0000950170-24-126580,xslF345X05/ownership.xml,4,TSLA
2024-11-05,2024-11-06 01:14:55+00:00,0001494731-24-000001,xslF345X05/edgardoc.xml,4,TSLA
2024-11-04,2024-11-05 00:08:51+00:00,0001771340-24-000006,xslF345X05/edgardoc.xml,4,TSLA
2024-10-28,2024-10-29 00:28:41+00:00,0001771340-24-000005,xslF345X05/edgardoc.xml,4,TSLA
2024-09-25,2024-09-25 23:48:42+00:00,0001771340-24-000004,xslF345X05/edgardoc.xml,4,TSLA
2024-09-09,2024-09-10 00:02:19+00:00,0001972928-24-000003,xslF345X05/edgardoc.xml,4,TSLA
2024-07-29,2024-07-29 23:00:04+00:00,0000950170-24-087441,xslF345X05/ownership.xml,4,TSLA
2024-06-07,2024-06-07 22:46:36+00:00,0001972928-24-000002,xslF345X05/edgardoc.xml,4,TSLA
